filename,doc_type,date,company,source,ticker,format
OR_2025_08_11,official_report,2025_08_11,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_08_13_slide,official_report,2025_08_13,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,slides
OR_2025_09_03,official_report,2025_09_03,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_09_22_slide,official_report,2025_09_22,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,slides
OR_2025_09_22,official_report,2025_09_22,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_10_15,official_report,2025_10_15,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_11_17,official_report,2025_11_17,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_11_19,official_report,2025_11_19,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_12_16_slide,official_report,2025_12_16,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,slides
OR_2025_12_16,official_report,2025_12_16,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_12_23,official_report,2025_12_23,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_12_26,official_report,2025_12_26,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2026_01_30,official_report,2026_01_30,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2026_02_09,official_report,2026_02_09,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2026_02_10,official_report,2026_02_10,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2026_02_12,official_report,2026_02_12,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2026_02_23,official_report,2026_02_23,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2026_04_07,official_report,2026_04_07,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2026_12_16,official_report,2026_12_16,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
QR_2025_10_24_slide,official_report,2025_10_24,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,slides
AR_2026_03_17,annual_report,2026_03_17,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_01_02,annual_report,2025_01_02,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_01_24,annual_report,2025_01_24,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_02_03,annual_report,2025_02_03,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_02_17,annual_report,2025_02_17,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_02_17(2),annual_report,2025_02_17,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_02_12_slide,annual_report,2025_02_12,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,slides
OR_2025_02_28,annual_report,2025_02_28,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_03_18(2),annual_report,2025_03_18,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
AR_2025_03_24,annual_report,2025_03_24,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_03_28,annual_report,2025_03_28,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
AR_2025_04_15_slide,annual_report,2025_04_15,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,slides
OR_2025_04_24,annual_report,2025_04_24,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2025_07_25,annual_report,2025_07_25,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
AR_2025_07_25,annual_report,2025_07_25,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
AR_2025_07_25_slide,annual_report,2025_07_25,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,slides
OR_2025_07_25(2),annual_report,2025_07_25,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document
OR_2026_04_17,broker_report,2026_04_17,Keppel DC REIT,Keppel DC REIT Management,AJBU.SI,document